date,pe,yoy
2026-05-22,35.89,+7.55%
2026-05-21,35.74,+7.26%
2026-05-20,35.67,+5.63%
2026-05-19,35.09,+3.51%
2026-05-18,35.30,+4.22%
2026-05-15,35.46,+5.16%
2026-05-14,36.01,+6.89%
2026-05-13,35.75,+6.72%
2026-05-12,35.38,+7.28%
2026-05-11,35.70,+12.58%
2026-05-08,35.59,+12.24%
2026-05-07,34.78,+10.76%
2026-05-06,34.82,+11.32%
2026-05-05,34.11,+8.08%
2026-05-04,33.66,+5.95%
2026-05-01,33.74,+7.90%
2026-04-30,33.42,+8.05%
2026-04-29,33.10,+7.15%
2026-04-28,32.91,+7.20%
2026-04-27,33.24,+8.24%
2026-04-24,33.24,+9.45%
2026-04-23,32.61,+10.39%
2026-04-22,32.79,+13.54%
2026-04-21,32.24,+14.57%
2026-04-20,32.37,+12.16%
2026-04-17,32.47,+12.51%
2026-04-16,32.06,+11.09%
2026-04-15,31.90,+7.19%
2026-04-14,31.46,+5.89%
2026-04-13,30.90,+4.60%
2026-04-10,30.58,+5.48%
2026-04-09,30.54,+0.93%
2026-04-08,30.32,+12.25%
2026-04-07,29.47,+6.97%
2026-04-06,29.45,+7.09%
2026-04-02,29.27,-5.43%
2026-04-01,29.24,-4.82%
2026-03-31,28.90,-5.15%
2026-03-30,31.23,-4.29%
2026-03-27,31.48,-6.06%
2026-03-26,32.10,-4.78%
2026-03-25,32.88,-4.25%
2026-03-24,32.66,-4.36%
2026-03-23,32.91,-1.56%
2026-03-20,32.52,-2.34%
2026-03-19,33.14,-0.78%
2026-03-18,33.24,+0.82%
2026-03-17,33.72,+0.57%
2026-03-16,33.55,+0.60%
2026-03-13,33.18,+1.97%
2026-03-12,33.38,+0.63%
2026-03-11,33.97,+3.60%
2026-03-10,33.96,+3.25%
2026-03-09,33.97,-0.64%
2026-03-06,33.53,-1.21%
2026-03-05,34.05,-2.46%
2026-03-04,34.15,-0.87%
2026-03-03,33.64,-2.69%
2026-03-02,34.01,-3.79%
2026-02-27,33.96,-2.36%
2026-02-26,34.07,-4.75%
2026-02-25,34.47,-3.42%
2026-02-24,33.99,-5.95%
2026-02-23,33.62,-8.09%
2026-02-20,34.04,-8.86%
2026-02-19,33.74,-10.10%
2026-02-18,33.88,-9.68%
2026-02-17,33.61,-10.21%
2026-02-13,33.65,-9.76%
2026-02-12,33.59,-8.62%
2026-02-11,34.29,-6.62%
2026-02-10,34.19,-7.14%
2026-02-09,34.38,-5.47%
2026-02-06,34.12,-7.41%
2026-02-05,33.40,-8.89%
2026-02-04,33.87,-7.21%
2026-02-03,34.48,-4.36%
2026-02-02,35.02,-3.66%
2026-01-30,34.77,-4.48%
2026-01-29,35.22,-2.81%
2026-01-28,35.41,-2.53%
2026-01-27,35.30,-1.29%
2026-01-26,34.99,-5.05%
2026-01-23,34.84,-6.02%
2026-01-22,34.72,-6.14%
2026-01-21,34.46,-5.59%
2026-01-20,34.00,-6.31%
2026-01-16,34.74,-2.69%
2026-01-15,34.76,-3.28%
2026-01-14,34.65,-1.37%
2026-01-13,35.03,-0.43%
2026-01-12,35.09,-0.54%
2026-01-09,35.06,-2.20%
2026-01-08,34.71,-3.18%
2026-01-07,34.91,-2.57%
2026-01-06,34.89,-4.38%
2026-01-05,34.56,-4.24%
2026-01-02,34.30,-3.38%
2025-12-31,34.36,-3.37%
2025-12-30,34.49,-7.24%
2025-12-29,34.57,-8.23%
2025-12-26,34.73,-9.04%
2025-12-24,34.75,-9.13%
2025-12-23,34.66,-8.11%
2025-12-22,34.49,-7.63%
2025-12-19,34.33,-7.29%
2025-12-18,33.89,-8.90%
2025-12-17,33.38,-13.50%
2025-12-16,34.04,-12.18%
2025-12-15,33.95,-11.15%
2025-12-12,34.13,-9.99%
2025-12-11,34.79,-8.88%
2025-12-10,34.91,-6.86%
2025-12-09,34.77,-7.55%
2025-12-08,34.71,-8.49%
2025-12-05,34.80,-7.40%
2025-12-04,34.65,-8.09%
2025-12-03,34.68,-6.87%
2025-12-02,34.61,-6.79%
2025-12-01,34.32,-6.51%
2025-11-28,34.45,-5.33%
2025-11-26,34.18,-6.87%
2025-11-25,33.89,-7.13%
2025-11-24,33.69,-7.55%
2025-11-21,32.83,-9.76%
2025-11-20,32.58,-10.12%
2025-11-19,33.37,-8.02%
2025-11-18,33.19,-7.88%
2025-11-17,33.59,-6.09%
2025-11-14,33.87,-7.61%
2025-11-13,33.85,-8.27%
2025-11-12,34.56,-6.49%
2025-11-11,34.58,-6.59%
2025-11-10,34.69,-6.34%
2025-11-07,33.94,-8.32%
2025-11-06,34.04,-6.61%
2025-11-05,34.70,-2.20%
2025-11-04,34.45,-1.63%
2025-11-03,35.18,+0.11%
2025-10-31,35.02,+0.37%
2025-10-30,34.86,-2.52%
2025-10-29,35.38,-1.86%
2025-10-28,35.23,-1.32%
2025-10-27,34.97,-2.04%
2025-10-24,34.35,-3.21%
2025-10-23,33.99,-3.44%
2025-10-22,33.70,-5.79%
2025-10-21,34.03,-4.73%
2025-10-20,34.05,-4.49%
2025-10-17,33.61,-5.11%
2025-10-16,33.40,-5.62%
2025-10-15,33.52,-5.20%
2025-10-14,33.29,-7.14%
2025-10-13,33.52,-5.74%
2025-10-10,32.81,-7.60%
2025-10-09,33.99,-4.39%
2025-10-08,34.05,-3.46%
2025-10-07,33.64,-3.14%
2025-10-06,33.83,-3.73%
2025-10-03,33.57,-3.31%
2025-10-02,33.72,-2.94%
2025-10-01,33.59,-3.17%
