date,pe,yoy
2026-05-22,26.970,+0.94%
2026-05-21,26.870,+0.52%
2026-05-20,26.824,-1.27%
2026-05-19,26.538,-2.71%
2026-05-18,26.716,-1.97%
2026-05-15,26.736,-1.20%
2026-05-14,27.071,+0.45%
2026-05-13,26.865,-0.22%
2026-05-12,26.709,-0.08%
2026-05-11,26.751,+3.34%
2026-05-08,26.701,+3.07%
2026-05-07,26.478,+2.80%
2026-05-06,26.579,+3.65%
2026-05-05,26.197,+1.37%
2026-05-04,25.986,-0.09%
2026-05-01,26.092,+1.79%
2026-04-30,26.016,+2.14%
2026-04-29,25.752,+0.35%
2026-04-28,25.763,+0.97%
2026-04-27,25.889,+1.53%
2026-04-24,25.857,+2.15%
2026-04-23,25.653,+3.40%
2026-04-22,25.759,+5.56%
2026-04-21,25.493,+7.09%
2026-04-20,25.656,+5.24%
2026-04-17,25.717,+5.49%
2026-04-16,25.411,+4.37%
2026-04-15,25.344,+1.76%
2026-04-14,25.144,+0.79%
2026-04-13,24.851,+0.40%
2026-04-10,24.601,+1.19%
2026-04-09,24.629,-2.20%
2026-04-08,24.478,+6.45%
2026-04-07,23.879,+2.21%
2026-04-06,23.861,+1.90%
2026-04-02,23.756,-9.23%
2026-04-01,23.729,-8.72%
2026-03-31,23.560,-9.03%
2026-03-30,23.574,-9.39%
2026-03-27,23.667,-10.83%
2026-03-26,24.070,-9.61%
2026-03-25,24.496,-9.03%
2026-03-24,24.364,-9.38%
2026-03-23,24.456,-7.43%
2026-03-20,24.179,-8.41%
2026-03-19,24.550,-7.20%
2026-03-18,24.618,-5.94%
2026-03-17,24.958,-5.66%
2026-03-16,24.896,-5.29%
2026-03-13,24.646,-4.25%
2026-03-12,24.796,-5.00%
2026-03-11,25.179,-3.06%
2026-03-10,25.201,-3.71%
2026-03-09,25.255,-6.11%
2026-03-06,25.047,-6.37%
2026-03-05,25.384,-6.80%
2026-03-04,25.528,-5.22%
2026-03-03,25.331,-7.11%
2026-03-02,25.573,-7.87%
2026-02-27,26.345,-4.56%
2026-02-26,26.460,-5.67%
2026-02-25,26.602,-5.15%
2026-02-24,26.388,-6.35%
2026-02-23,26.187,-7.53%
2026-02-20,26.462,-8.15%
2026-02-19,26.280,-9.18%
2026-02-18,26.354,-8.71%
2026-02-17,26.208,-8.99%
2026-02-13,26.181,-9.09%
2026-02-12,26.168,-8.19%
2026-02-11,26.584,-6.98%
2026-02-10,26.586,-6.94%
2026-02-09,26.674,-6.01%
2026-02-06,26.549,-7.33%
2026-02-05,26.037,-8.79%
2026-02-04,26.359,-7.30%
2026-02-03,26.494,-6.15%
2026-02-02,26.718,-6.08%
2026-01-30,27.415,-5.10%
2026-01-29,27.534,-4.18%
2026-01-28,27.569,-4.51%
2026-01-27,27.571,-3.62%
2026-01-26,27.459,-5.41%
2026-01-23,27.323,-6.15%
2026-01-22,27.314,-5.68%
2026-01-21,27.165,-5.62%
2026-01-20,26.853,-5.88%
2026-01-16,27.419,-2.94%
2026-01-15,27.437,-3.08%
2026-01-14,27.366,-1.56%
2026-01-13,27.513,-0.92%
2026-01-12,27.566,-0.57%
2026-01-09,27.523,-2.26%
2026-01-08,27.346,-2.89%
2026-01-07,27.344,-2.74%
2026-01-06,27.438,-3.49%
2026-01-05,27.269,-3.56%
2026-01-02,27.097,-2.96%
2025-12-31,27.046,-3.36%
2025-12-30,27.902,-2.28%
